DOI,type,polymer_family,PolymerName,co_smiles,smiles1,smiles2,co_content1,wt1,mol1,co_smiles1,co_content2,wt2,mol2,mix_content1,mix_smiles1,mix_wt1,mix_mol1,mix_content2,mix_smiles2,mix_wt2,mix_mol2,mix_content3,mix_smiles3,mix_wt3,mix_mol3,mix_content4,mix_smiles4,mix_wt4,mix_mol4,LOI
10.1002/(SICI)1097-4628(19960307)59:10<1619::AID-APP14>3.0.CO;2-R,copolymer,,PS-OH,CCOP(Oc1ccc(C([Fr])C[Rb])cc1)(OCC)=O,Oc1ccc(C([Fr])C[Rb])cc1,[Fr]C(C[Rb])c1ccc(OP(OCC)(OCC)=O)cc1,PS-OH,,100,,Diethylchlorophosphate (DECP),,0,,,,,,,,,,,,,,,,,18
10.1002/pat.3631,copolymer,,PMMA/DOPO-AA2.5,COC(C([Fr])(CC(C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)=O)C[Rb])C)=O,CC(C(OC)=O)([Fr])C[Rb],O=C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)C([Fr])C[Rb],PMMA,97.5,,,DOPO-AA,2.5,,,,,,,,,,,,,,,,,,18
10.1016/j.polymdegradstab.2006.04.032,copolymer,,PMMA5,COC(C(C)(CC([Fr])(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)C)C[Rb])=O,CC(C(OC)=O)([Fr])C[Rb],CC(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)([Fr])C[Rb],PMMA,95,,,MEPP,5,,,,,,,,,,,,,,,,,,18
10.1039/d1py00450f,homopolymer,,,,[Fr]OCCCCOC(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)[Rb],,,,100,,,,0,,,,,,,,,,,,,,,,,18
10.5762/KAIS.2013.14.5.2550,homopolymer,,,,O=C([Rb])C(C(OCCOC)=C1)=CC(OCCOC)=C1C2=NC(C=C3)=C(O2)C=C3C(C=C4)=CC5=C4N=C([Fr])O5,,,,100,,,,0,,,,,,,,,,,,,,,,,18
10.1016/j.polymdegradstab.2010.09.008,homopolymer,,PAN,N#CC([Fr])C[Rb],N#CC([Fr])C[Rb],N#CC([Fr])C[Rb],PAN,,100,,,,0,,,,,,,,,,,,,,,,,18.2
10.1016/j.polymdegradstab.2010.09.008,copolymer,,AN-co-MA11,CC([Fr])(CC(C#N)C[Rb])C(=O)O,N#CC([Fr])C[Rb],CC(C(O)=O)([Fr])C[Rb],PAN,,99.2,,MA,,0.8,,,,,,,,,,,,,,,,,18.2
10.1016/j.polymdegradstab.2010.09.008,copolymer,,AN-co-EMA19,CC([Fr])(CC(C#N)C[Rb])C(=O)OCC,N#CC([Fr])C[Rb],CC(C(OCC)=O)([Fr])C[Rb],PAN,,81.5,,EMA,,18.5,,,,,,,,,,,,,,,,,18.5
10.1002/app.43006,homopolymer,,,,[Rb]C(C#N)C[Fr],,,,100,,,,0,,,,,,,,,,,,,,,,,18.5
10.1016/j.polymdegradstab.2017.09.011,homopolymer,,,,CC([Fr])C[Rb],,,,100,,,,0,,,,,,,,,,,,,,,,,18.6
10.1007/s10965-020-02317-9,homopolymer,,,,[Rb]/C=N/CCCC/N=C/c1ccc(s1)c1cc(F)c(cc1F)c1ccc(s1)/C=N/CCCC/N=C/[Fr],,,,100,,,,0,,,,,,,,,,,,,,,,,18.7
10.1016/S0141-3910(96)00069-9,copolymer,,mercuriated-PS,[Rb]CC(CC(C1=CC=C([Hg]OC(C(F)(F)F)=O)C=C1)[Fr])C2=CC=CC=C2,[Rb]CC(C1=CC=CC=C1)[Fr],[Rb]CC([Fr])C1=CC=CC=C1,PS,62,,,mercuriated-PS,38,,,,,,,,,,,,,,,,,,18.9
10.1002/pat.3631,copolymer,,PMMA/DOPO-AA5.0,COC(C([Fr])(CC(C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)=O)C[Rb])C)=O,CC(C(OC)=O)([Fr])C[Rb],O=C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)C([Fr])C[Rb],PMMA,95,,,DOPO-AA,5,,,,,,,,,,,,,,,,,,19
10.1016/j.polymdegradstab.2006.04.032,copolymer,,PMMA10,COC(C(C)(CC([Fr])(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)C)C[Rb])=O,CC(C(OC)=O)([Fr])C[Rb],CC(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)([Fr])C[Rb],PMMA,90,,,MEPP,10,,,,,,,,,,,,,,,,,,19
10.1016/j.polymdegradstab.2010.09.008,copolymer,,AN-co-t-BMA14,CC(C)(C)OC(=O)C(C)([Fr])CC(C#N)C[Rb],N#CC([Fr])C[Rb],CC(C(OC(C)(C)C)=O)([Fr])C[Rb],PAN,,86.5,,t-BMA,,13.5,,,,,,,,,,,,,,,,,19
10.1177/0954008317752073,homopolymer,,,,CCOc1cc(ccc1OP(=O)(c1ccccc1)[Rb])/N=C/c1ccc(cc1)O[Fr],,,,100,,,,0,,,,,,,,,,,,,,,,,19
10.1016/j.polymdegradstab.2010.09.008,copolymer,,AN-co-EMA12,CC([Fr])(CC(C#N)C[Rb])C(=O)OCC,N#CC([Fr])C[Rb],CC(C(OCC)=O)([Fr])C[Rb],PAN,,88.5,,EMA,,11.5,,,,,,,,,,,,,,,,,19.4
10.1007/s10965-020-02317-9,homopolymer,,,,[Rb]/C=N/CCCCCC/N=C/c1ccc(s1)c1ccc(s1)c1ccc(s1)/C=N/CCCCCC/N=C/[Fr],,,,100,,,,0,,,,,,,,,,,,,,,,,19.5
10.1016/j.polymdegradstab.2016.09.025,homopolymer,,,,OC(C[Rb])[Fr],,,,100,,,,0,,,,,,,,,,,,,,,,,19.5
10.1016/j.polymdegradstab.2010.09.008,copolymer,,AN-co-VBA12,C#CC(CC(C1=CC=C(C=C1)C(O)=O)[Fr])C[Rb],N#CC([Fr])C[Rb],O=C(O)C(C=C1)=CC=C1C([Fr])C[Rb],PAN,,88,,VBA,,12,,,,,,,,,,,,,,,,,19.6
10.1021/acsomega.3c06235,copolymer,,PS148-b-PFAA-DOPO32,O=C(OCP1(=O)OC2=C(C=CC=C2)C2=CC=CC=C21)C([Fr])CC(C[Rb])C1=CC=CC=C1,[Rb]CC([Fr])C1=CC=CC=C1,O=C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)C([Fr])C[Rb],PS,,1,,FAA-DOPO,,50,,,,,,,,,,,,,,,,,19.6
10.1016/S0141-3910(00)00138-5,copolymer,,MMA-DEMMP2.5,CCOP(COC(C([Fr])(CC(C(OC)=O)(C)C[Rb])C)=O)(OCC)=O,CC(C(OC)=O)([Fr])C[Rb],CC(C(OCP(OCC)(OCC)=O)=O)([Fr])C[Rb],PMMA,,97.5,,DEMMP,,2.5,,,,,,,,,,,,,,,,,19.8
10.1039/c6py00183a,homopolymer,,,,[Rb]OCCOC(=O)c1ccc(cc1)C(=O)[Fr],,,,100,,,,0,,,,,,,,,,,,,,,,,19.9
10.1016/j.aiepr.2022.12.004,homopolymer,,,,[Fr]C(C1=CC=C(C=C1)/N=N/C2=CC=C(C(NC3=CC=C(C=C3)N[Rb])=O)C=C2)=O,,,,100,,,,0,,,,,,,,,,,,,,,,,20
10.3390/biom10071038,homopolymer,,,,[Rb]NCCCCCC(=O)[Fr],,,,100,,,,0,,,,,,,,,,,,,,,,,20
10.1002/APP.40855,homopolymer,,,,COC(=O)CCN(CCO)CCO,,,,100,,,,0,,,,,,,,,,,,,,,,,20
10.1016/j.polymdegradstab.2015.11.003,copolymer,,PBT,O=C([Fr])C1=CC=C(C=C1)C(OCCCCO[Rb])=O,O=C([Fr])C1=CC=C(C=C1)C(OCCCCO[Rb])=O,[Rb]OC1=CC=C(C=C1)C(C)(C2=CC=C(C=C2)OP([Fr])(C3=CC=CC=C3)=O)C,PBT,,100,,CPBA,,0,,,,,,,,,,,,,,,,,20.2
10.1016/j.polymdegradstab.2006.04.032,copolymer,,PMMA15,COC(C(C)(CC([Fr])(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)C)C[Rb])=O,CC(C(OC)=O)([Fr])C[Rb],CC(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)([Fr])C[Rb],PMMA,85,,,MEPP,15,,,,,,,,,,,,,,,,,,20.3
10.1016/S0141-3910（00）00066-5,copolymer,,MMA-ADPPO,COC(=O)C(C)C([Fr])CCC([Rb])CP(=O)(C1=CC=CC=C1)C1=CC=CC=C1,CC(C(OC)=O)([Fr])C[Rb],O=P(C1=CC=CC=C1)(C2=CC=CC=C2)CC([Fr])C[Rb],PMMA,,81,,ADPPO,,19,,,,,,,,,,,,,,,,,20.3
10.1002/pat.4161,copolymer,,polystyrene,CC(C(OCCN(CP(OC)(OC)=O)CP(OC)(OC)=O)=O)(CC(C1=CC=CC=C1)[Fr])C[Rb],[Rb]CC([Fr])C1=CC=CC=C1,CC(C(OCCN(CP(OC)(OC)=O)CP(OC)(OC)=O)=O)([Fr])C[Rb],PS,75,,,"ethyl N,N‐tetramethyl‐bis(phosphonate)‐bis(methylene) amine methacrylate(AC2NP2)",25,,,,,,,,,,,,,,,,,,20.5
10.1007/s00289-016-1652-0,copolymer,,IIA,CC(CC1)CCC1(C2=CC=C(C=C2)CO[Rb])C(C=C3)=CC=C3COC(CCC([Fr])=O)=O,CC(CC1)CCC1(C2=CC=C(C=C2)CO)C(C=C3)=CC=C3CO,O=C(CCCCCCC(Cl)=O)Cl,MBPZ,,50,,ClA,,50,,,,,,,,,,,,,,,,,20.5
10.1007/s00289-016-1652-0,homopolymer,,,,[Fr]Oc1ccc(cc1)C1(CCC(CC1)C)c1ccc(cc1)OC(=O)CCC(=O)[Rb],,,,100,,,,0,,,,,,,,,,,,,,,,,20.5
10.1016/j.polymdegradstab.2014.06.003,homopolymer,,,,[Rb]OCc1ccc(cc1)COC(=O)c1ccc(cc1)C(=O)[Fr],,,,100,,,,0,,,,,,,,,,,,,,,,,20.5
10.1002/pat.4784,copolymer,,PMMA-co-BDPA-5,O=C(OC(C1=CC=C(C=C1)OP(OC2=CC=CC=C2)(OC3=CC=CC=C3)=O)C4=CC=C(C=C4)OP(OC5=CC=CC=C5)(OC6=CC=CC=C6)=O)C(CC(C(OC)=O)([Fr])C)C[Rb],CC(C(OC)=O)([Fr])C[Rb],O=C(OC(C1=CC=C(C=C1)OP(OC2=CC=CC=C2)(OC3=CC=CC=C3)=O)C4=CC=C(C=C4)OP(OC5=CC=CC=C5)(OC6=CC=CC=C6)=O)C([Fr])C[Rb],PMMA,95,,,bis(4-((diphenoxyphosphoryl)oxy)phenyl)methyl acrylate(BDPA),5,,,,,,,,,,,,,,,,,,20.6
10.1016/S0141-3910（00）00066-5,copolymer,,MMA-DEαPVP,CCOP(=O)(OCC)C([Rb])(CCC([Fr])C(C)C(=O)OC)C1=CC=CC=C1,CC(C(OC)=O)([Fr])C[Rb],O=P(OCC)(OCC)C(C1=CC=CC=C1)([Fr])C[Rb],PMMA,,61,,DEαPVP,,39,,,,,,,,,,,,,,,,,20.6
10.1016/S0141-3910(96)00068-7,copolymer,,Silylated PS (B),[Rb]CC(CC(C1=CC=C(C=C1)[Si](C)(C)C)[Fr])C2=CC=CC=C2,[Rb]CC(C1=CC=CC=C1)[Fr],[Rb]CC([Fr])C1=CC=C([Si](C)(C)C)C=C1,PS,92.5,,,Silylated PS,7.5,,,,,,,,,,,,,,,,,,20.6
10.1016/j.polymdegradstab.2010.09.008,copolymer,,AN-co-t-BMA30,CC(C)(C)OC(=O)C(C)([Fr])CC(C#N)C[Rb],N#CC([Fr])C[Rb],CC(C(OC(C)(C)C)=O)([Fr])C[Rb],PAN,,70.4,,t-BMA,,29.6,,,,,,,,,,,,,,,,,20.7
10.1016/j.polymdegradstab.2010.09.008,copolymer,,AN-co-t-BMA2,CC(C)(C)OC(=O)C(C)([Fr])CC(C#N)C[Rb],N#CC([Fr])C[Rb],CC(C(OC(C)(C)C)=O)([Fr])C[Rb],PAN,,97.9,,t-BMA,,2.1,,,,,,,,,,,,,,,,,20.7
10.1080/00222348.2016.1254510,homopolymer,,,,CC(C)(c1ccc(cc1)O)c1ccc(cc1)O.C(C1CO1)Cl.C=CC(=O)O,,,,100,,,,0,,,,,,,,,,,,,,,,,20.8
10.1016/S0141-3910（00）00066-5,copolymer,,MMA-αPVPA,COC(=O)C(C)C([Fr])CCC([Rb])(C1=CC=CC=C1)P(=O)(O)O,CC(C(OC)=O)([Fr])C[Rb],O=P(O)(O)C(C1=CC=CC=C1)([Fr])C[Rb],PMMA,,90,,αPVPA,,10,,,,,,,,,,,,,,,,,20.9
10.1002/pat.3631,copolymer,,PMMA/DOPO-AA10.0,COC(C([Fr])(CC(C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)=O)C[Rb])C)=O,CC(C(OC)=O)([Fr])C[Rb],O=C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)C([Fr])C[Rb],PMMA,90,,,DOPO-AA,10,,,,,,,,,,,,,,,,,,21
10.1016/j.matchemphys.2012.02.046,copolymer,,So-coPS10,[Rb]CC(CC([Fr])c1ccccc1)C(OCCN(CP(OC)(OC)=O)CP(OC)(OC)=O)=O,[Rb]CC(c1ccccc1)[Fr],O=C(OCCN(CP(OC)(OC)=O)CP(OC)(OC)=O)C([Fr])C[Rb],PS,,97.74,,AC2NP2,,2.26,,,,,,,,,,,,,,,,,21
10.1016/j.polymer.2024.126780,copolymer,,PA6,[Fr]C(CCCCCN[Rb])=O,[Fr]C(CCCCCN[Rb])=O,[Fr]C(CCCCCNC(C1=CC=C(C(O)=C1)N2C(C3=CC=C(C=C3C2=O)C([Rb])=O)=O)=O)=O,PA6,,100,,HPI,,0,,,,,,,,,,,,,,,,,21
10.1039/C6RA17108G,copolymer,,PA-1,[Rb]NCCCCCNC(CCCCC([Fr])=O)=O,[Rb]NCCCCCNC(CCCCC([Fr])=O)=O,O=C(C(C([Fr])=O)CP1(OC2=CC=CC=C2C3=CC=CC=C31)=O)NCCCCCN[Rb],PA,100,,,DDPDA,0,,,,,,,,,,,,,,,,,,21
10.1016/j.reactfunctpolym.2007.05.012,homopolymer,,,,[Fr]Nc1ccc(cc1)Oc1cccc(n1)Oc1ccc(cc1)NC(=O)CCCCCCCCC(=O)[Rb],,,,100,,,,0,,,,,,,,,,,,,,,,,21
10.1016/j.polymdegradstab.2012.07.014,copolymer,,AN/ADEPMAE1,CCOP(=O)(OCC)N(C)CCOC(=O)C(C[Rb])CC([Fr])C#N,N#CC([Fr])C[Rb],O=C(OCCN(P(OCC)(OCC)=O)C)C([Fr])C[Rb],PAN,,99.1,,ADEPMAE,,0.9,,,,,,,,,,,,,,,,,21.1
10.1016/j.polymdegradstab.2010.09.008,copolymer,,AN-co-VBA17,C#CC(CC(C1=CC=C(C=C1)C(O)=O)[Fr])C[Rb],N#CC([Fr])C[Rb],O=C(O)C(C=C1)=CC=C1C([Fr])C[Rb],PAN,,82.7,,VBA,,17.3,,,,,,,,,,,,,,,,,21.2
10.1016/j.polymdegradstab.2012.07.014,copolymer,,AN/ADEPMAE2,CCOP(=O)(OCC)N(C)CCOC(=O)C(C[Rb])CC([Fr])C#N,N#CC([Fr])C[Rb],O=C(OCCN(P(OCC)(OCC)=O)C)C([Fr])C[Rb],PAN,,98.9,,ADEPMAE,,1.1,,,,,,,,,,,,,,,,,21.2
10.1002/pi.1946,copolymer,,PAN-co-DiPrpVBnP5,CC(OP(CC1=CC=C(C(CC(C#N)[Fr])C[Rb])C=C1)(OC(C)C)=O)C,N#CC([Fr])C[Rb],O=P(OC(C)C)(OC(C)C)CC(C=C1)=CC=C1C([Fr])C[Rb],PAN,,98,,DiPrpVBnP,,2,,,,,,,,,,,,,,,,,21.3
10.1016/S0141-3910（00）00066-5,copolymer,,ST-DEαPVP,CCOP(OCC)(C(CC(C1=CC=CC=C1)C[Rb])(C2=CC=CC=C2)[Fr])=O,[Rb]CC([Fr])C1=CC=CC=C1,O=P(OCC)(OCC)C(C1=CC=CC=C1)([Fr])C[Rb],PS,,95,,DEαPVP,,5,,,,,,,,,,,,,,,,,21.3
10.1007/s00289-016-1652-0,copolymer,,IA,O=C(OCC1=CC=C(C=C1)C2(CCCCC2)C3=CC=C(C=C3)CO[Rb])CCC([Fr])=O,OCC1=CC=C(C=C1)C2(CCCCC2)C3=CC=C(C=C3)CO,O=C(CCC(Cl)=O)Cl,BPZ,,50,,ClA,,50,,,,,,,,,,,,,,,,,21.5
10.1021/ie1006917,copolymer,,PTT,O=C([Fr])C1=CC=C(C(OCCCO[Rb])=O)C=C1,O=C([Fr])C1=CC=C(C(OCCCO[Rb])=O)C=C1,[Fr]OC(C(CP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)CC(OCCCO[Rb])=O)=O,PTT,100,,,DDP,0,,,,,,,,,,,,,,,,,,21.5
10.1007/s10965-021-02676-x,homopolymer,,,,[Fr]c1ccc(cc1)Oc1ccc(cc1)N1C(=O)C2C(C1=O)CC(CC2)C1CCC2C(C1)C(=O)N(C2=O)[Rb],,,,100,,,,0,,,,,,,,,,,,,,,,,21.5
10.1016/j.reactfunctpolym.2007.05.012,homopolymer,,,,[Fr]Nc1ccc(cc1)Oc1cccc(n1)Oc1ccc(cc1)NC(=O)CCCCC(=O)[Rb],,,,100,,,,0,,,,,,,,,,,,,,,,,21.5
10.1177/0954008315572493,homopolymer,,,,[Fr]NCCCCC(=O)NCCCCC(=O)[Rb],,,,100,,,,0,,,,,,,,,,,,,,,,,21.5
10.1007/s00289-016-1652-0,homopolymer,,,,[Fr]Oc1ccc(cc1)C1(CCCCC1)c1ccc(cc1)OC(=O)CCC(=O)[Rb],,,,100,,,,0,,,,,,,,,,,,,,,,,21.5
10.1021/ie1006917,homopolymer,,,,[Fr]OCCCOC(=O)c1ccc(cc1)C(=O)[Rb],,,,100,,,,0,,,,,,,,,,,,,,,,,21.5
10.1007/s10965-020-02317-9,homopolymer,,,,[Rb]/C=N/CCCCCC/N=C/c1ccc(s1)c1cc(F)c(cc1F)c1ccc(s1)/C=N/CCCCCC/N=C/[Fr],,,,100,,,,0,,,,,,,,,,,,,,,,,21.5
10.1002/pat.5153,homopolymer,,,,O=C1N(C2=CC=C(OC3=CC=C([Fr])C=C3)C=C2)C(C4C1CC(C5CC(C(N([Rb])C6=O)=O)C6CC5)CC4)=O,,,,100,,,,0,,,,,,,,,,,,,,,,,21.5
10.1016/j.polymdegradstab.2012.07.014,copolymer,,AN/ADEPMAE3,CCOP(=O)(OCC)N(C)CCOC(=O)C(C[Rb])CC([Fr])C#N,N#CC([Fr])C[Rb],O=C(OCCN(P(OCC)(OCC)=O)C)C([Fr])C[Rb],PAN,,98.6,,ADEPMAE,,1.4,,,,,,,,,,,,,,,,,21.6
10.1016/S0141-3910（00）00066-5,copolymer,,ST-αPVPA,O=P(O)(C(CC(C1=CC=CC=C1)C[Rb])(C2=CC=CC=C2)[Fr])O,[Rb]CC([Fr])C1=CC=CC=C1,O=P(O)(O)C(C1=CC=CC=C1)([Fr])C[Rb],PS,,97,,αPVPA,,3,,,,,,,,,,,,,,,,,21.6
10.1016/S0141-3910（00）00066-5,copolymer,,MMA-DPVPO,COC(=O)C(C)C([Fr])CCC([Rb])P(=O)(C1=CC=CC=C1)C1=CC=CC=C1,CC(C(OC)=O)([Fr])C[Rb],O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C([Fr])C[Rb],PMMA,,85,,DPVPO,,15,,,,,,,,,,,,,,,,,21.6
10.1016/S0141-3910（00）00066-5,copolymer,,MMA-DEAP,COC(=O)C(C)C([Fr])CCC([Rb])CP(=O)(OC)OC,CC(C(OC)=O)([Fr])C[Rb],O=P(OCC)(OCC)CC([Fr])C[Rb],PMMA,,80,,DEAP,,20,,,,,,,,,,,,,,,,,21.6
10.1016/S0141-3910（00）00066-5,copolymer,,ST-DEAP,CCOP(CC(CC(C1=CC=CC=C1)C[Rb])[Fr])(OCC)=O,[Rb]CC([Fr])C1=CC=CC=C1,O=P(OCC)(OCC)CC([Fr])C[Rb],PS,,80,,DEAP,,20,,,,,,,,,,,,,,,,,21.7
10.1016/j.polymdegradstab.2006.04.032,copolymer,,PMMA20,COC(C(C)(CC([Fr])(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)C)C[Rb])=O,CC(C(OC)=O)([Fr])C[Rb],CC(C(OCCOP(O)(OC1=CC=CC=C1)=O)=O)([Fr])C[Rb],PMMA,80,,,MEPP,20,,,,,,,,,,,,,,,,,,21.8
10.1016/j.polymdegradstab.2007.02.003,copolymer,,PS/DEMEP,[Rb]CC(C1=CC=CC=C1)CC([Fr])(C)C(OCP(OCC)(OCC)=O)=O,[Rb]CC([Fr])C1=CC=CC=C1,CC(C(OCCOP(OCC)(OCC)=O)=O)([Fr])C[Rb],PS,,86.2,,DEMEP,,13.8,,,,,,,,,,,,,,,,,21.8
10.1016/j.polymdegradstab.2007.02.003,copolymer,,PS/DEAEP,O=C(C(CC(C1=CC=CC=C1)C[Rb])[Fr])OCCOP(OCC)(OCC)=O,[Rb]CC([Fr])C1=CC=CC=C1,O=C(OCCOP(OCC)(OCC)=O)C([Fr])C[Rb],PS,,86.5,,DEAEP,,13.5,,,,,,,,,,,,,,,,,21.8
10.1016/j.polymdegradstab.2010.09.008,copolymer,,AN-co-MA5,CC([Fr])(CC(C#N)C[Rb])C(=O)O,N#CC([Fr])C[Rb],CC(C(O)=O)([Fr])C[Rb],PAN,,96,,MA,,4,,,,,,,,,,,,,,,,,21.8
10.1016/S0141-3910（00）00066-5,copolymer,,ST-DEVP,COP(OC)(C(CC(C1=CC=CC=C1)C[Rb])[Fr])=O,[Rb]CC([Fr])C1=CC=CC=C1,O=P(OCC)(OCC)C([Fr])C[Rb],PS,,80,,DEVP,,20,,,,,,,,,,,,,,,,,21.8
10.1016/S0141-3910(96)00068-7,copolymer,,Silylated PS (C),[Rb]CC(CC(C1=CC=C(C=C1)[Si](Cl)(C)C)[Fr])C2=CC=CC=C2,[Rb]CC(C1=CC=CC=C1)[Fr],[Rb]CC([Fr])C1=CC=C([Si](C)(Cl)C)C=C1,PS,88.8,,,Silylated PS,11.2,,,,,,,,,,,,,,,,,,21.8
10.1002/pi.1946,copolymer,,PAN-co-DnBupVBnP5,CCCCOP(CC1=CC=C(C(CC(C#N)[Fr])C[Rb])C=C1)(OCCC)=O,N#CC([Fr])C[Rb],O=P(OCCCC)(OCCCC)CC(C=C1)=CC=C1C([Fr])C[Rb],PAN,,97.8,,DnBupVBnP,,2.2,,,,,,,,,,,,,,,,,21.9
10.1016/j.polymdegradstab.2007.02.003,copolymer,,PS/DEMMP,[Rb]CC(C1=CC=CC=C1)CC([Fr])(C)C(OCP(OCC)(OCC)=O)=O,[Rb]CC([Fr])C1=CC=CC=C1,CC(C(OCP(OCC)(OCC)=O)=O)([Fr])C[Rb],PS,,85.9,,DEMMP,,14.1,,,,,,,,,,,,,,,,,21.9
10.1016/j.polymdegradstab.2007.02.003,copolymer,,PS/DEAMP,[Rb]CC(C1=CC=CC=C1)CC(C(OCP(OCC)(OCC)=O)=O)[Fr],[Rb]CC([Fr])C1=CC=CC=C1,O=C(OCP(OCC)(OCC)=O)C([Fr])C[Rb],PS,,86.2,,DEAMP,,13.8,,,,,,,,,,,,,,,,,21.9
10.1016/j.polymdegradstab.2010.09.008,copolymer,,AN-co-EMA3,CC([Fr])(CC(C#N)C[Rb])C(=O)OCC,N#CC([Fr])C[Rb],CC(C(OCC)=O)([Fr])C[Rb],PAN,,97,,EMA,,3,,,,,,,,,,,,,,,,,21.9
10.1016/j.polymdegradstab.2010.09.008,copolymer,,AN-co-t-BMA6,CC(C)(C)OC(=O)C(C)([Fr])CC(C#N)C[Rb],N#CC([Fr])C[Rb],CC(C(OC(C)(C)C)=O)([Fr])C[Rb],PAN,,93.6,,t-BMA,,6.4,,,,,,,,,,,,,,,,,21.9
10.1016/j.polymdegradstab.2018.05.010,copolymer,,PHF,O=C(OCCCCCCOC(C1=CC=C(O1)C([Fr])=O)=O)CCP(OCCCCCCO[Rb])(C2=CC=CC=C2)=O,O=C([Fr])CCP(OCCCCCCO[Rb])(C1=CC=CC=C1)=O,O=C([Fr])C1=CC=C(O1)C(OCCCCCCO[Rb])=O,HFH,,100,,HCH,,0,,,,,,,,,,,,,,,,,21.9
10.1016/S0141-3910(00)00138-5,copolymer,,MMA-DEMMP5,CCOP(COC(C([Fr])(CC(C(OC)=O)(C)C[Rb])C)=O)(OCC)=O,CC(C(OC)=O)([Fr])C[Rb],CC(C(OCP(OCC)(OCC)=O)=O)([Fr])C[Rb],PMMA,,95,,DEMMP,,5,,,,,,,,,,,,,,,,,21.9
10.3390/ma13010127,copolymer,,PS-10,O=C(OCP1(=O)OC2=C(C=CC=C2)C2=CC=CC=C21)C([Fr])CC(C[Rb])C1=CC=CC=C1,[Rb]CC([Fr])C1=CC=CC=C1,O=C(OCP1(OC2=C(C3=CC=CC=C31)C=CC=C2)=O)C([Fr])C[Rb],PS,,90,,DOPOAA,,10,,,,,,,,,,,,,,,,,21.9
