DOI,type,polymer_family,PolymerName,co_smiles,smiles1,smiles2,co_content1,wt1,mol1,co_smiles1,co_content2,wt2,mol2,mix_content1,mix_smiles1,mix_wt1,mix_mol1,Tg
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]C(C1=CC(NC(C(N2C(C3=C(C(Br)=C(C(Br)=C3C2=O)Br)Br)=O)C)=O)=CC(C(NC4=CC=C(N[Rb])C=C4C)=O)=C1)=O,,,,100,,,,0,,,,,195
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]C(C1=CC(NC(C(N2C(C3=C(C(Br)=C(C(Br)=C3C2=O)Br)Br)=O)C)=O)=CC(C(NC4=CC=C(OC5=CC=C(N[Rb])C=C5)C=C4)=O)=C1)=O,,,,100,,,,0,,,,,195
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]C(C1=CC(NC(C(N2C(C3=C(C(Br)=C(C(Br)=C3C2=O)Br)Br)=O)C)=O)=CC(C(NC4=CC=C(S(C5=CC=C(N[Rb])C=C5)(=O)=O)C=C4)=O)=C1)=O,,,,100,,,,0,,,,,206
10.1039/C0PY00103A,homopolymer,,,,[Fr]C(C1=CC(NC2=CC=C(N[Rb])C=C2)=CC(NC3=NNC(C4=CC=CC=C4)=N3)=C1)=O,,,,100,,,,0,,,,,306
10.1039/C0PY00103A,homopolymer,,,,[Fr]C(C1=CC(NC2=CC=CC(N[Rb])=C2)=CC(NC3=NNC(C4=CC=CC=C4)=N3)=C1)=O,,,,100,,,,0,,,,,293
10.1007/s10853-020-05281-3,homopolymer,,,,[Fr]CC(COc1ccc(cc1)C(c1ccc(cc1)O[Rb])(C)C)O,,,,100,,,,0,,,,,113.4
10.1007/s10965-017-1184-9,homopolymer,,,,[Fr]C(C1=CC=C(C=C1)NC2=NC(N3CCOCC3)=NC(NC4=CC=C(C=C4)C(NC5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(N[Rb])C=C7)C=C5)=O)=N2)=O,,,,100,,,,0,,,,,240
10.1007/s10965-017-1184-9,homopolymer,,,,[Fr]C(C1=CC=C(C=C1)NC2=NC(N3CCOCC3)=NC(NC4=CC=C(C=C4)C(NC5=CC=C(OC6=CC=C(N[Rb])C=C6)C=C5)=O)=N2)=O,,,,100,,,,0,,,,,234
10.1007/s10965-017-1184-9,homopolymer,,,,[Fr]C(C1=CC=C(C=C1)NC2=NC(N3CCOCC3)=NC(NC4=CC=C(C=C4)C(NC5=CC=C(S(C6=CC=C(N[Rb])C=C6)(=O)=O)C=C5)=O)=N2)=O,,,,100,,,,0,,,,,223
10.1007/s10965-017-1184-9,homopolymer,,,,[Fr]C(C1=CC=C(C=C1)NC2=NC(N3CCOCC3)=NC(NC4=CC=C(C=C4)C(NC5=CC=CC(N[Rb])=C5)=O)=N2)=O,,,,100,,,,0,,,,,248
10.1007/s11696-020-01494-7,homopolymer,,,,[Fr]C1=CC=C(C(NC2=CC=C(OC3=CC=C(C(C)(C)C4=CC=C(OC5=CC=C(NC(C6=CC=C(N7C(C8C(C9=CC=C%10C%11=C9C8=CC=C%11C%12=CC=C%13C%14=C%12C%10=CC=C%14C%15C%13C(N([Rb])C%15=O)=O)C7=O)=O)C=C6)=O)C=C5)C=C4)C=C3)C=C2)=O)C=C1,,,,100,,,,0,,,,,231
10.1080/10601325.2020.1736944,homopolymer,,,,[Fr]c1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)C(C2=O)[Rb],,,,100,,,,0,,,,,144.0577487
10.1080/10601325.2020.1736944,homopolymer,,,,[Fr]c1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)c1ccc2c(c1)C(=O)N(C2=O)[Rb],,,,100,,,,0,,,,,144.3324195
10.1080/10601325.2020.1736944,homopolymer,,,,[Fr]c1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)Oc1ccc2c(c1)C(=O)C(C2=O)[Rb],,,,100,,,,0,,,,,144.2637518
10.1080/10601325.2020.1736944,homopolymer,,,,[Fr]c1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc2c(c1)C(=O)C(C2=O)[Rb],,,,100,,,,0,,,,,144.1264164
10.1080/10601325.2020.1736944,homopolymer,,,,[Fr]c1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)Sc1ccc2c(c1)C(=O)C(C2=O)[Rb],,,,100,,,,0,,,,,144.1950841
10.1007/s10965-021-02676-x,homopolymer,,,,[Fr]c1ccc(cc1)Oc1ccc(cc1)C1(Cc2c(C1=O)cccc2)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)C2C(C1=O)CC(CC2)C1CCC2C(C1)C(=O)N(C2=O)[Rb],,,,100,,,,0,,,,,269.4
10.1007/s10965-021-02676-x,homopolymer,,,,[Fr]c1ccc(cc1)Oc1ccc(cc1)C1(Cc2c(C1=O)cccc2)c1ccc(cc1)Oc1ccc(cc1)N1C(=O)C2C(C1=O)CC1C(C2)C(=O)N(C1=O)[Rb],,,,100,,,,0,,,,,318.1
10.1007/s10965-021-02676-x,homopolymer,,,,[Fr]c1ccc(cc1)Oc1ccc(cc1)N1C(=O)C2C(C1=O)CC(CC2)C1CCC2C(C1)C(=O)N(C2=O)[Rb],,,,100,,,,0,,,,,260.6
10.1007/s00289-015-1488-z,homopolymer,,,,[Fr]c1ccc(cc1)OCc1nnn(c1)c1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)n1nnc(c1)COc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)c1ccc2c(c1)C(=O)N(C2=O)[Rb],,,,100,,,,0,,,,,236
10.1007/s00289-015-1488-z,homopolymer,,,,[Fr]c1ccc(cc1)OCc1nnn(c1)CCCn1nnc(c1)COc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)c1ccc2c(c1)C(=O)N(C2=O)[Rb],,,,100,,,,0,,,,,218
10.1016/j.jfluchem.2016.03.016,homopolymer,,,,[Fr]c1cccc(c1)P(=O)(C(CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)c1cccc(c1)N1C(=O)C(C1=O)c1ccc(cc1)C(=O)c1ccc(cc1)C1C(=O)N(C1=O)[Rb],,,,100,,,,0,,,,,203
10.1016/j.jfluchem.2016.03.016,homopolymer,,,,[Fr]c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)C(C1=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C1C(=O)N(C1=O)[Rb])CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,,,100,,,,0,,,,,204
10.1016/j.jfluchem.2016.03.016,homopolymer,,,,[Fr]c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)C(C1=O)c1ccc(cc1)C1C(=O)N(C1=O)[Rb])CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,,,100,,,,0,,,,,233
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]Nc1ccc(c(c1)C)NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)C)cc(c1)C(=O)[Rb],,,,100,,,,0,,,,,195
10.1080/10601325.2018.1483201,homopolymer,,,,[Fr]Nc1ccc(cc1)C(=O)c1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)C1N=CC(S1)c1ccc(cc1)C1SC(C(C1c1ccccc1)c1ccccc1)c1ccc(cc1)C1C=NC(S1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)[Rb],,,,100,,,,0,,,,,272
10.1002/(SICI)1099-0518(19970915)35:12<2453::AID-POLA15>3.0.CO;2-6,homopolymer,,,,[Rb]Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OCC(OC(=O)[Fr])C,,,,100,,,,0,,,,,33
10.1002/(SICI)1099-0518(19970915)35:12<2453::AID-POLA15>3.0.CO;2-6,homopolymer,,,,[Fr]Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OCCOCCOCCOCCOC(=O)[Rb],,,,100,,,,0,,,,,40
10.1002/(SICI)1099-0518(19970915)35:12<2453::AID-POLA15>3.0.CO;2-6,homopolymer,,,,[Fr]Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OCCOCCOCCOC(=O)[Rb],,,,100,,,,0,,,,,60
10.1002/(SICI)1099-0518(19970915)35:12<2453::AID-POLA15>3.0.CO;2-6,homopolymer,,,,[Fr]Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OC(=O)[Rb],,,,100,,,,0,,,,,62
10.1002/(SICI)1099-0518(19970915)35:12<2453::AID-POLA15>3.0.CO;2-6,homopolymer,,,,[Fr]Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OCCOCCOC(=O)[Rb],,,,100,,,,0,,,,,91
10.1177/0954008311424804,homopolymer,,,,[Fr]Nc1ccc(cc1)C1C(=O)c2c(C1=O)ccc(c2)C(=O)NC(=S)Nc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)[Rb],,,,100,,,,0,,,,,292
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]Nc1ccc(cc1)c1ccc(cc1)NC(=O)c1cc(N=C(C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)C)O)cc(c1)C(=O)[Rb],,,,100,,,,0,,,,,191
10.1177/0954008320910807,homopolymer,,,,[Fr]Nc1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)NC(=O)c1ccc(cc1)Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)Oc1ccc(cc1)C(=O)[Rb],,,,100,,,,0,,,,,318
10.1177/0954008320910807,homopolymer,,,,[Fr]Nc1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)NC(=O)c1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)C(=O)[Rb],,,,100,,,,0,,,,,316
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)C)cc(c1)C(=O)[Rb],,,,100,,,,0,,,,,192
10.1080/10601325.2018.1483201,homopolymer,,,,[Fr]Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)C1N=CC(S1)c1ccc(cc1)c1sc(c(c1c1ccccc1)c1ccccc1)c1ccc(cc1)C1C=NC(S1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)[Rb],,,,100,,,,0,,,,,302
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]Nc1ccc(cc1)NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)C)cc(c1)C(=O)[Rb],,,,100,,,,0,,,,,201
10.1007/s10965-017-1184-9,homopolymer,,,,[Fr]Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)Nc1nc(Nc2ccc(cc2)C(=O)[Rb])nc(n1)N1CCOCC1,,,,100,,,,0,,,,,234
10.1002/pc.23170,homopolymer,,,,[Fr]Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)Nc1ncnc(n1)Nc1ccc(cc1)C(=O)[Rb],,,,100,,,,0,,,,,208
10.1080/10601325.2018.1483201,homopolymer,,,,[Fr]Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)C1N=CC(S1)c1ccc(cc1)c1sc(c(c1c1ccccc1)c1ccccc1)c1ccc(cc1)C1C=NC(S1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)[Rb],,,,100,,,,0,,,,,295
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(=O)c1cc(N=C(C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)C)O)cc(c1)C(=O)[Rb],,,,100,,,,0,,,,,195
10.1002/app.23580,homopolymer,,,,[Fr]Nc1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)[Rb])c1ccccc1,,,,100,,,,0,,,,,145
10.1002/app.23580,homopolymer,,,,[Fr]Nc1cccc(c1)P(=O)(c1ccccc1)c1cccc(c1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)[Rb])c1ccccc1,,,,100,,,,0,,,,,150
10.1002/app.23580,homopolymer,,,,[Fr]Nc1cccc(n1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)[Rb])c1ccccc1,,,,100,,,,0,,,,,156
10.1080/10601325.2018.1483201,homopolymer,,,,[Fr]Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)C1N=CC(S1)c1ccc(cc1)c1sc(c(c1c1ccccc1)c1ccccc1)c1ccc(cc1)C1C=NC(S1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)[Rb],,,,100,,,,0,,,,,267
10.1080/1023666X.2021.1891379,homopolymer,,,,[Fr]Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(=O)Cc1ccc(cc1)Oc1cccc(n1)Oc1ccc(cc1)CC(=O)[Rb],,,,100,,,,0,,,,,196.78
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]Nc1cccc(c1)NC(=O)c1cc(cc(c1)C(=O)[Rb])NC(=O)C(N1C(=O)c2c(C1=O)c(Br)c(c(c2Br)Br)Br)C,,,,100,,,,0,,,,,212
10.1007/s10965-017-1184-9,homopolymer,,,,[Fr]Nc1cccc(c1)NC(=O)c1ccc(cc1)Nc1nc(Nc2ccc(cc2)C(=O)[Rb])nc(n1)N1CCOCC1,,,,100,,,,0,,,,,248
10.1007/s00289-015-1587-x,homopolymer,,,,[Fr]Nc1cccc2c1cccc2NC(=O)c1cc(NC(=O)C(N2C(=O)c3c(C2=O)c(Br)c(c(c3Br)Br)Br)C)cc(c1)C(=O)[Rb],,,,100,,,,0,,,,,196
10.1177/0954008320910807,homopolymer,,,,[Fr]Nc1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)NC(=O)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[Rb],,,,100,,,,0,,,,,332
10.1016/j.aiepr.2022.12.004,homopolymer,,,,[Fr]OC1=CC=C(C(C2=CC=C(OC3=CC=C(C(NCCCCNC(C4=CC=C([Rb])C=C4)=O)=O)C=C3)C=C2)(C)C5=CC=CC=C5)C=C1,,,,100,,,,0,,,,,186
10.1016/j.aiepr.2022.12.004,homopolymer,,,,[Fr]OC1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=C(C=C3)OC4=CC=C(C=C4)C(NCCNC(C5=CC=C(C=C5)[Rb])=O)=O)C,,,,100,,,,0,,,,,211
10.1002/(SICI)1097-4628(19970110)63:2<195::AID-APP7>3.0.CO;2-Q,homopolymer,,,,[Fr]Oc1c(Br)cc(cc1Br)C(C(F)(F)F)(C(F)(F)F)c1cc(Br)c(c(c1)Br)OC(=O)[Rb],,,,100,,,,0,,,,,206
10.1002/(SICI)1097-4628(19970110)63:2<195::AID-APP7>3.0.CO;2-Q,homopolymer,,,,[Fr]Oc1c(Br)cc(cc1Br)C(c1cc(Br)c(c(c1)Br)OC(=O)[Rb])(C)C,,,,100,,,,0,,,,,202
10.1002/(SICI)1097-4628(19970110)63:2<195::AID-APP7>3.0.CO;2-Q,homopolymer,,,,[Fr]Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)OC(=O)[Rb],,,,100,,,,0,,,,,164
10.1016/1381-5148(95)00121-2,homopolymer,,,,[Fr]Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)OP(=O)(Oc1ccc(cc1)[N+](=O)[O-])[Rb],,,,100,,,,0,,,,,108
10.1016/1381-5148(95)00121-2,homopolymer,,,,[Fr]Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)OP(=O)(Oc1ccc(cc1)C)[Rb],,,,100,,,,0,,,,,83
10.1002/(SICI)1097-4628(19970110)63:2<195::AID-APP7>3.0.CO;2-Q,homopolymer,,,,[Fr]Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)[Rb])(C)C,,,,100,,,,0,,,,,146
10.1016/j.polymdegradstab.2014.05.002,homopolymer,,,,[Fr]Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)P(=O)(c1ccc(cc1)[Rb])c1ccccc1)(C)C,,,,100,,,,0,,,,,198
10.3390/polym15081917,homopolymer,,,,[Fr]Oc1ccc(cc1)C(c1ccc(cc1)OP(=O)(Oc1ccccc1)Oc1ccc(cc1)C(c1ccc(cc1)OP(=O)(c1ccccc1)[Rb])(C)C)(C)C,,,,100,,,,0,,,,,143.9204134
10.1016/j.polymdegradstab.2024.110702,homopolymer,,,,[Fr]Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)[Rb],,,,100,,,,0,,,,,144.8130932
10.1177/0954008319901148,homopolymer,,,,[Fr]Oc1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)[Rb],,,,100,,,,0,,,,,212
10.1177/0954008319901148,homopolymer,,,,[Fr]Oc1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)c1ccc(cc1)[Rb],,,,100,,,,0,,,,,255
10.1177/0954008319901148,homopolymer,,,,[Fr]Oc1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[Rb],,,,100,,,,0,,,,,209
10.1177/0954008319901148,homopolymer,,,,[Fr]Oc1ccc(cc1)c1nc(cc(c1)c1ccc(cc1)P(c1ccccc1)c1ccccc1)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cccc(c1)C(=O)c1ccc(cc1)[Rb],,,,100,,,,0,,,,,241
10.1002/macp.201500121,homopolymer,,,,[Fr]Oc1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)[Rb],,,,100,,,,0,,,,,144.7444256
10.1002/(SICI)1099-0518(19970915)35:12<2453::AID-POLA15>3.0.CO;2-6,homopolymer,,,,[Fr]Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OCCOC(=O)[Rb],,,,100,,,,0,,,,,135
10.1039/d1py00450f,homopolymer,,,,[Fr]OCc1ccc(o1)C1OCC(CO1)(CC)COCC1(CC)COC(OC1)c1ccc(o1)COC(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)[Rb],,,,100,,,,0,,,,,104
10.1002/macp.201500121,homopolymer,,,,[Fr]OCCCCOC(=O)C(CP1(=O)Oc2ccccc2c2c1cccc2)CC(=O)[Rb],,,,100,,,,0,,,,,144.5384225
10.1021/ie1006917,homopolymer,,,,[Fr]OCCCOC(=O)c1ccc(cc1)C(=O)[Rb],,,,100,,,,0,,,,,39.15
10.1080/03602559.2011.617402,homopolymer,,,,[Fr]OCCOC(=O)c1ccc2c(c1)ccc(c2)C(=O)[Rb],,,,100,,,,0,,,,,144.8817609
10.1002/pat.1515,homopolymer,,,,[H]C(C(NC1=CC(C(NC2=CC=C(OC3=C([C@@H]4C(C=CC=C5)=C5[C@H]6C7=C4C=CC=C7)C6=C(OC8=CC=C(N[Rb])C=C8)C=C3)C=C2)=O)=CC(C([Fr])=O)=C1)=O)(N9C(C%10C%11C%12=C(C(C%10C9=O)C%13=C%11C=CC=C%13)C=CC=C%12)=O)CC%14=CC=CC=C%14,,,,100,,,,0,,,,,185
10.1002/pat.1515,homopolymer,,,,[H]C(C(NC1=CC(C(NC2=CC=C(OC3=CC=C(N[Rb])C=C3)C=C2)=O)=CC(C([Fr])=O)=C1)=O)(N4C(C5C6C7=C(C(C5C4=O)C8=C6C=CC=C8)C=CC=C7)=O)CC9=CC=CC=C9,,,,100,,,,0,,,,,183
10.1039/C0PY00103A,homopolymer,,,,[H]N(C1=CC=C(C2=NC(NC3=CC=C(C(NC4=CC=CC(N[Rb])=C4)=O)C=C3)=NN2)C=C1)C(C5=CC(C(N(C6=CC=C(C7=NC(NC8=CC=C(C=C8)C([Fr])=O)=NN7)C=C6)[H])=O)=CC=C5)=O,,,,100,,,,0,,,,,345
10.1002/app.28552,homopolymer,,,,[Rb]C1=CC=C(C(C2=CC=C(P(C3=CC=C(C(C4=CC=C(OC5=CC=C(C(C)(C6=CC=C(O[Fr])C=C6)C)C=C5)C=C4)=O)C=C3)(C7=CC=CC=C7)=O)C=C2)=O)C=C1,,,,100,,,,0,,,,,205
10.1002/app.28552,homopolymer,,,,[Rb]C1=CC=C(C(C2=CC=C(P(C3=CC=C(C(C4=CC=C(OC5=CC=C(O[Fr])C=C5)C=C4)=O)C=C3)(C6=CC=CC=C6)=O)C=C2)=O)C=C1,,,,100,,,,0,,,,,213
10.1002/app.28552,homopolymer,,,,[Rb]C1=CC=C(C(C2=CC=C(P(C3=CC=C(C(C4=CC=C(OC5=CC=C(S(=O)(C6=CC=C(O[Fr])C=C6)=O)C=C5)C=C4)=O)C=C3)(C7=CC=CC=C7)=O)C=C2)=O)C=C1,,,,100,,,,0,,,,,235
10.1007/s10118-015-1557-7,homopolymer,,,,[Rb]C1=CC=C(NC(NC(C2=CC=CC(C(NC(NC3=CC=C(N4C(C5=CC=C(C(C(F)(F)F)(C6=CC=C7C(C(N([Fr])C7=O)=O)=C6)C(F)(F)F)C=C5C4=O)=O)C=C3)=S)=O)=N2)=O)=S)C=C1,,,,100,,,,0,,,,,247
10.1007/s10118-015-1557-7,homopolymer,,,,[Rb]C1=CC=C(NC(NC(C2=CC=CC(C(NC(NC3=CC=C(N4C(C5=CC=C(C6=CC=C7C(C(N([Fr])C7=O)=O)=C6)C=C5C4=O)=O)C=C3)=S)=O)=N2)=O)=S)C=C1,,,,100,,,,0,,,,,267
10.1007/s10118-015-1557-7,homopolymer,,,,[Rb]C1=CC=C(NC(NC(C2=CC=CC(C(NC(NC3CCC(N4C(C5=CC=C(OC6=CC=C7C(C(N([Fr])C7=O)=O)=C6)C=C5C4=O)=O)CC3)=S)=O)=N2)=O)=S)C=C1,,,,100,,,,0,,,,,251
